sampler,phase,method,outcome,detail
"wlogistic","read","predictForests","refused","bartcore_predictPerForest: this sampler reports no per-forest fits; only a coupling that composes its forests through scalar amplitude glue carries them"
"wlogistic","read","getTrees","accepted","data.frame 98x5"
"wlogistic","read","printTrees","accepted","NULL"
"wlogistic","read","plotTree","accepted","NULL"
"wlogistic","read","getDispersion","accepted","NULL"
"wlogistic","read","getFitsWithoutOffset","accepted","matrix/array 40x1"
"wlogistic","read","getLatents","refused","preallocated latents must be a numeric of length equal to the number of observations times the number of chains"
"wlogistic","read","getSigmas","accepted","numeric len1"
"wlogistic","read","getSumsOfSquaredResiduals","accepted","numeric len1"
"wlogistic","read","getForestFits","accepted","matrix/array 40x1"
"wlogistic","read","getForestAmplitudes","refused","forest amplitudes require a sampler whose forests carry them"
"wlogistic","read","getForestVariableCounts","accepted","matrix/array 3x1"
"wlogistic","read","getCalibration","accepted","matrix/array 1x12"
"wlogistic","read","copy","accepted","dbartsSampler len1"
"wlogistic","read","show","accepted","NULL"
"wlogistic","read","extract(S3)","accepted","matrix/array 40x3"
"wlogistic","read","plotTree(S3)","accepted","NULL"
"wlogistic","read","storeState","accepted","NULL"
"wlogistic","read","getPointer","accepted","externalptr len1"
"wlogistic","mutate","setControl","accepted","NULL"
"wlogistic","mutate","setModel","accepted","NULL"
"wlogistic","mutate","setData","accepted","NULL"
"wlogistic","mutate","setResponse","refused","bartcore_setResponse: a binary (probit/logistic) response must be coded 0 or 1; fit family = ""gaussian"" for a continuous response"
"wlogistic","mutate","setOffset","accepted","NULL"
"wlogistic","mutate","setWeights","refused","logistic weights are observation counts and must be positive integers; drop zero-count rows, and use a gaussian model for continuous weights"
"wlogistic","mutate","setCounts","refused","$setCounts is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"wlogistic","mutate","setCategoryOffset","refused","$setCategoryOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"wlogistic","mutate","setCategoryTestOffset","refused","$setCategoryTestOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"wlogistic","mutate","setActiveRows","accepted","NULL"
"wlogistic","mutate","setForestWeights","refused","bartcore_setForestWeights: requires a sampler that carries forest amplitudes"
"wlogistic","mutate","setForestBasis","refused","forest index out of range"
"wlogistic","mutate","setSigma","refused","bartcore_setSigma: this response family fixes the residual standard deviation by definition; only gaussian and aft samplers carry a sigma to set"
"wlogistic","mutate","setPredictor","accepted","NULL"
"wlogistic","mutate","setCutPoints","accepted","NULL"
"wlogistic","mutate","setTestPredictorAndOffset","accepted","NULL"
"wlogistic","mutate","setTestPredictor","accepted","NULL"
"wlogistic","mutate","setTestOffset","accepted","NULL"
"wlogistic","mutate","setCalibration","accepted","NULL"
"wlogistic","mutate","installTrees","accepted","NULL"
"wlogistic","mutate","sampleTreesFromPrior","accepted","NULL"
"wlogistic","mutate","sampleNodeParametersFromPrior","accepted","NULL"
"wlogistic","mutate","growFromRoot","accepted","NULL"
"wlogistic","mutate","setState","refused","'state' must inherit from bartcoreState"
"wlogistic","mutate","adoptPointer","accepted","NULL"
"wlogistic","mutate","run(0,2) after mutation","accepted","list len8"
